序号,文件名,主单号,子单号,单号(Shipment No),页数,备注
1,ALS01545912260.pdf,ALS01545912260,(00)340339886180190061,598720729,1,
2,ALS01548504061.pdf,ALS01548504061,(00)340339886180190078,598720761,1,
3,ALS01549206861.pdf,ALS01549206861,(00)340339886180189980,598720692,1,
4,ALS01558710556.pdf,ALS01558710556,(00)340339886180190139,598720810,1,
5,ALS01569942486.pdf,ALS01569942486,(00)340339886180190047/(00)340339886180190054,598720725,2,多页包裹
6,ALS01571670242.pdf,ALS01571670242,(00)340339886180190597,598721142,1,
7,ALS01573668372.pdf,ALS01573668372,(00)340339886180190603,598721154,1,
8,ALS01575774389.pdf,ALS01575774389,(00)340339886180190528,598721122,1,
9,ALS01578636576.pdf,ALS01578636576,(00)340339886180190566,598721135,1,
10,ALS01579230578.pdf,ALS01579230578,(00)340339886180190573,598721136,1,
11,ALS01579797124.pdf,ALS01579797124,(00)340339886180190641,598721173,1,
12,ALS01580364027.pdf,ALS01580364027,(00)340339886180190184,598720853,1,
13,ALS01581174620.pdf,ALS01581174620,(00)340339886180190344,598720949,1,
14,ALS01583253474.pdf,ALS01583253474,(00)340339886180190276,598720931,1,
15,J000203616321.pdf,J000203616321,(00)340339886180190382,598721030,1,
16,J000203617416.pdf,J000203617416,(00)340339886180190269,598720918,1,
17,J000203626625.pdf,J000203626625,(00)340339886180190368,598720971,1,
18,J000203627534.pdf,J000203627534,(00)340339886180190351,598720952,1,
19,J000203628817.pdf,J000203628817,(00)340339886180190191,598720865,1,
20,J000203628982.pdf,J000203628982,(00)340339886180190085/(00)340339886180190092,598720772,2,多页包裹
21,J000203630859.pdf,J000203630859,(00)340339886180190450,598721058,1,
22,J000203644039.pdf,J000203644039,(00)340339886180190481,598721083,1,
23,J000203644158.pdf,J000203644158,(00)340339886180190559,598721126,1,
24,J000203645508.pdf,J000203645508,(00)340339886180190146,598720811,1,
25,J000203646373.pdf,J000203646373,(00)340339886180190207,598720882,1,
26,J000203647120.pdf,J000203647120,(00)340339886180189966/(00)340339886180189973,598720687,2,多页包裹
27,J000203647989.pdf,J000203647989,(00)340339886180189935/(00)340339886180189942,598720664,2,多页包裹
28,J000203648017.pdf,J000203648017,(00)340339886180189850/(00)340339886180189867/(00)340339886180189874,598720640,3,多页包裹
29,J000203648059.pdf,J000203648059,(00)340339886180189829/(00)340339886180189836/(00)340339886180189843,598720619,3,多页包裹
30,J000203648545.pdf,J000203648545,(00)340339886180190122,598720790,1,
