序号,文件名,主单号,子单号,单号(Shipment No),页数,备注
1,ALS01549017033.pdf,ALS01549017033,(00)340339886179158973/(00)340339886179158980,598202527,2,多页包裹
2,ALS01550826128.pdf,ALS01550826128,(00)340339886179155798/(00)340339886179155804/(00)340339886179155811,598201101,3,多页包裹
3,ALS01553634317.pdf,ALS01553634317,(00)340339886179157433/(00)340339886179157440,598201312,2,多页包裹
4,ALS01557738564.pdf,ALS01557738564,(00)340339886179159789,598202757,1,
5,ALS01559304274.pdf,ALS01559304274,(00)340339886179159161,598202596,1,
6,ALS01559979876.pdf,ALS01559979876,(00)340339886179160136,598202892,1,
7,ALS01560114014.pdf,ALS01560114014,(00)340339886179158249/(00)340339886179158256,598201770,2,多页包裹
8,ALS01564947967.pdf,ALS01564947967,(00)340339886179158669/(00)340339886179158676,598202275,2,多页包裹
9,ALS01565055391.pdf,ALS01565055391,(00)340339886179160372,598203012,1,
10,ALS01565136561.pdf,ALS01565136561,(00)340339886179155217/(00)340339886179155224/(00)340339886179155231,598200945,3,多页包裹
11,ALS01565541662.pdf,ALS01565541662,(00)340339886179157709/(00)340339886179157716,598201577,2,多页包裹
12,ALS01568511003.pdf,ALS01568511003,(00)340339886179158447/(00)340339886179158454,598201949,2,多页包裹
13,J000203628081.pdf,J000203628081,(00)340339886179160792,598203271,1,
14,J000203628210.pdf,J000203628210,(00)340339886179158546,598202072,1,
15,J000203628212.pdf,J000203628212,(00)340339886179158393,598201898,1,
16,J000203628213.pdf,J000203628213,(00)340339886179156030,598201179,1,
17,J000203628214.pdf,J000203628214,(00)340339886179158904,598202423,1,
18,J000203628215.pdf,J000203628215,(00)340339886179157761,598201601,1,
19,J000203631240.pdf,J000203631240,(00)340339886179159338,598202678,1,
